sentence_id,words,labels
1382601382042103808,Hidup,O
1382601382042103808,sesedih,O
1382601382042103808,dan,O
1382601382042103808,secaper,O
1382601382042103808,apa,O
1382601382042103808,yak,O
1382601382042103808,nyamperin,O
1382601382042103808,ig,B-PROD
1382601382042103808,atau,O
1382601382042103808,youtube,B-PROD
1382601382042103808,tim,O
1382601382042103808,lain,O
1382601382042103808,cuma,O
1382601382042103808,buat,O
1382601382042103808,ngatain,O
1382601382042103808,",",O
1382601382042103808,perasaan,O
1382601382042103808,dari,O
1382601382042103808,dulu,O
1382601382042103808,gua,O
1382601382042103808,ngefans,O
1382601382042103808,bola,O
1382601382042103808,orang,O
1382601382042103808,pada,O
1382601382042103808,santai,O
1382601382042103808,eh,O
1382601382042103808,di,O
1382601382042103808,ml,B-PROD
1382601382042103808,!,O
1382601382042103808,malah,O
1382601382042103808,gini��,O
1387837745536454657,RT,O
1387837745536454657,@nenxdyna,O
1387837745536454657,:,O
1387837745536454657,Jogja,B-LOC
1387837745536454657,utara,O
1387837745536454657,include,O
1387837745536454657,kos,O
1387837745536454657,rr,O
1387837745536454657,082265448558,O
1387837745536454657,https://t.co/8lbhRRpjQO,O
1386114774203736065,@jntexpressid,B-ORG
1386114774203736065,kenapa,O
1386114774203736065,kamu,O
1386114774203736065,lambat,O
1386114774203736065,bgt,O
1386114774203736065,sih,O
1386114774203736065,sekarang,O
1386114774203736065,��,O
1386114774203736065,masa,O
1386114774203736065,jogja,B-LOC
1386114774203736065,-,O
1386114774203736065,magelang,B-LOC
1386114774203736065,udah,O
1386114774203736065,2,O
1386114774203736065,hari,O
1386114774203736065,ngga,O
1386114774203736065,jalan,O
1386114774203736065,jalan,O
1384838673582206976,RT,O
1384838673582206976,@RJelata02,O
1384838673582206976,:,O
1384838673582206976,@Demokrat_AHY,O
1384838673582206976,@PDemokrat,O
1384838673582206976,@Taufiq_PD_DKI,O
1384838673582206976,@isari68,O
1384838673582206976,@SartonoHutomo,O
1384838673582206976,@jansen_jsp,O
1384838673582206976,@via_jayabaya1,O
1384838673582206976,@jovanltconsina,O
1384838673582206976,@AgusYudhoyono,O
1384838673582206976,@SBYudhoyono,O
1384838673582206976,Thanks,O
1384838673582206976,Demokrat,B-ORG
1384838673582206976,AHY,B-PER
1384838673582206976,udh,O
1384838673582206976,difollback��,O
1385573262067847169,RT,O
1385573262067847169,@ArisWila,O
1385573262067847169,:,O
1385573262067847169,Pertemuan,O
1385573262067847169,Mendikbud,O
1385573262067847169,Nadiem,B-PER
1385573262067847169,Makarim,I-PER
1385573262067847169,dg,O
1385573262067847169,Presiden,O
1385573262067847169,ke-5,O
1385573262067847169,&,O
1385573262067847169,amp,O
1385573262067847169,Ketum,O
1385573262067847169,PDIP,O
1385573262067847169,Ibu,O
1385573262067847169,Megawati,B-PER
1385573262067847169,Soekarno,I-PER
1385573262067847169,Puteri,I-PER
1385573262067847169,",",O
1385573262067847169,adalah,O
1385573262067847169,hal,O
1385573262067847169,biasa,O
1385573262067847169,&,O
1385573262067847169,amp,O
1385573262067847169,sangat,O
1385573262067847169,penting,O
1385573262067847169,terkait,O
1385573262067847169,Sejarah,O
1385573262067847169,Bangsa,O
1385573262067847169,.,O
1385573262067847169,Kedua,O
1385573262067847169,Tokoh,O
1385573262067847169,memiliki,O
1385573262067847169,tanggungjawab,O
1385573262067847169,yg,O
1385573262067847169,sama,O
1385573262067847169,sbg,O
1385573262067847169,PUTRI,O
1385573262067847169,PROKLAMATOR,O
1385573262067847169,dan,O
1385573262067847169,CUCU,O
1385573262067847169,PERINTIS,O
1385573262067847169,KEMERDEKAAN,O
1385573262067847169,"RI.""",O
1385573262067847169,"""",O
1385573262067847169,https://t.co/BaSPBEECZ6,O
1387269528501981185,RT,O
1387269528501981185,@Setiawan_Nanang,O
1387269528501981185,:,O
1387269528501981185,@infomalang,O
