sentence_id,words,labels
1380681275594305537,@ridwankamil,O
1380681275594305537,@KickAndyShow,O
1380681275594305537,@Metro_TV,O
1380681275594305537,Upaya,O
1380681275594305537,untuk,O
1380681275594305537,mnaikan,O
1380681275594305537,nilai,O
1380681275594305537,jual,O
1380681275594305537,yg,O
1380681275594305537,"bgus,dngn",O
1380681275594305537,cara,O
1380681275594305537,d,O
1380681275594305537,desain,O
1380681275594305537,pak,O
1380681275594305537,gubernur,B-PER
1380681275594305537,akan,O
1380681275594305537,menjadikn,O
1380681275594305537,produk,O
1380681275594305537,umkm,O
1380681275594305537,d,O
1380681275594305537,mintai,O
1380681275594305537,krena,O
1380681275594305537,yg,O
1380681275594305537,desain,O
1380681275594305537,org,O
1380681275594305537,nomer,O
1380681275594305537,satu,O
1380681275594305537,di,O
1380681275594305537,jabar,B-LOC
1380685209075544064,@GyuuPotter,O
1380685209075544064,iyhh,O
1380685209075544064,",",O
1380685209075544064,soalnya,O
1380685209075544064,mwu,O
1380685209075544064,kerjain,O
1380685209075544064,tugas,O
1380685209075544064,jg��,O
1380685355897085952,@ShopeeID,O
1380685355897085952,Bismillah,O
1380685355897085952,yok,O
1380685355897085952,menang,O
1380685355897085952,����,O
1380685355897085952,SHOPEE,B-PROD
1380685355897085952,@ShopeeID,O
1380685355897085952,#44ShopeeMamamoo,O
1380685355897085952,#ShopeexMAMAMOO,O
1380685355897085952,#AdaMamamoodiShopee,O
1380686115007393792,udah,O
1380686115007393792,2,O
1380686115007393792,mingguan,O
1380686115007393792,tinggal,O
1380686115007393792,bareng,O
1380686115007393792,teteh,O
1380686115007393792,",",O
1380686115007393792,skrg,O
1380686115007393792,tetehku,O
1380686115007393792,dah,O
1380686115007393792,pulang,O
1380686115007393792,lagi,O
1380686115007393792,ke,O
1380686115007393792,jogja,B-LOC
1380686115007393792,rasanya,O
1380686115007393792,sepiiiii,O
1380686115007393792,bgt,O
1380686115007393792,jadi,O
1380686115007393792,ga,O
1380686115007393792,mood,O
1380686115007393792,ngapa2in,O
1380688640611786754,@ShopeeID,O
1380688640611786754,Potong,O
1380688640611786754,buah,O
1380688640611786754,semangka,O
1380688640611786754,pakai,O
1380688640611786754,alas,O
1380688640611786754,.,O
1380688640611786754,Potongnya,O
1380688640611786754,diatas,O
1380688640611786754,bak,O
1380688640611786754,.,O
1380688640611786754,Nonton,O
1380688640611786754,ulang,O
1380688640611786754,MAMAMOO,B-ORG
1380688640611786754,di,O
1380688640611786754,SHOPEE,B-PROD
1380688640611786754,dapat,O
1380688640611786754,iPhone,B-PROD
1380688640611786754,12.,I-PROD
1380688640611786754,SHOPEE,B-PROD
1380688640611786754,memeng,O
1380688640611786754,DAEBAK,O
1380688640611786754,.,O
1380688640611786754,��,O
1380688640611786754,SHOPEE,B-PROD
1380688640611786754,#TontonUlangMamamoo,O
1380688640611786754,#TontonUlangShopee44,O
1380688640611786754,Sukses,O
1380688640611786754,selalu,O
1380688640611786754,buat,O
1380688640611786754,Shopee,B-ORG
1380688640611786754,dan,O
1380688640611786754,sehat,O
1380688640611786754,selalu,O
1380688640611786754,buat,O
1380688640611786754,mimin,O
1380688640611786754,Shopee.��,B-ORG
1380688640611786754,DOA,O
1380688640611786754,dan,O
1380688640611786754,Semangat,O
1380688640611786754,��,O
1380688670282289153,RT,O
1380688670282289153,@kukluxcats,O
1380688670282289153,:,O
1380688670282289153,Selevel,O
1380688670282289153,gubernur,B-PER
1380688670282289153,Jatim,I-PER
1380688670282289153,aja,O
1380688670282289153,udah,O
1380688670282289153,maen,O
1380688670282289153,BuzzeRp,O
1380688670282289153,",",O
1380688670282289153,emang,O
1380688670282289153,udah,O
1380688670282289153,parah,O
1380688670282289153,kayanya,O
1380688670282289153,kompetensi,O
1380688670282289153,pejabat,O
1380688670282289153,kita,O
1380688670282289153,sampe,O
1380688670282289153,sampe,O
1380688670282289153,apa,O
1380688670282289153,apa,O
1380688670282289153,musti,O
1380688670282289153,dipromote,O
1380688670282289153,BuzzeRp,O
1380688670282289153,https://t.co/kfpglITYzw,O
1380691957861732359,@ShopeeID,O
1380691957861732359,Semoga,O
1380691957861732359,wangi,O
1380691957861732359,��,O
1380691957861732359,SHOPEE,B-PROD
1380691957861732359,#44ShopeeMamamoo,O
1380691957861732359,#ShopeexMamamoo,O
1380691957861732359,#AdaMamamoodiShopee,O
1380692463669547008,@andre_rosiade,B-PER
1380692463669547008,Kerja,O
1380692463669547008,nyata,O
1380692463669547008,kalian,O
1380692463669547008,ya,O
1380692463669547008,itu,O
1380692463669547008,dgn,O
1380692463669547008,bergabungnya,O
1380692463669547008,prabowo,B-PER
1380692463669547008,sandi,B-PER
1380692463669547008,menjadi,O
1380692463669547008,menteri,O
1380692463669547008,dan,O
1380692463669547008,apa,O
1380692463669547008,klian,O
1380692463669547008,yakin,O
1380692463669547008,bhw,O
1380692463669547008,kalaian,O
1380692463669547008,akan,O
1380692463669547008,menang,O
1380692463669547008,?,O
1380692463669547008,No,O
1380692463669547008,no,O
1380692463669547008,no,O
1380692463669547008,....,O
1380694749603053572,Avail,O
1380694749603053572,Jogja,B-LOC
1380694749603053572,COD,O
1380694749603053572,/,O
1380694749603053572,Cash,O
1380694749603053572,in,O
1380694749603053572,room,O
1380694749603053572,Open,O
1380694749603053572,Bebas,O
1380694749603053572,Crot,O
1380694749603053572,RR,O
1380694749603053572,???,O
1380694749603053572,⬇️⬇️⬇️,O
1380694749603053572,DM,O
1380694749603053572,#bojogja,O
1380694749603053572,#AvailJogja,O
1380694749603053572,#JogjaBO,O
1380694749603053572,#ExpoJOGJA,O
1380694749603053572,#openBOjogja,O
1380694749603053572,#AngelJogja,O
1380694749603053572,#jogjaincluderoom,O
1380694749603053572,https://t.co/uCetrgpwYb,O
1380695479676100608,Cuma,O
1380695479676100608,Pak,O
1380695479676100608,Prabowo,B-PER
1380695479676100608,yang,O
1380695479676100608,sudah,O
1380695479676100608,pasti,O
1380695479676100608,capres,O
1380695479676100608,lagi,O
1380695479676100608,sisa,O
1380695479676100608,nya,O
1380695479676100608,cawapres,O
1380695479676100608,potensial,O
1380695479676100608,bahkan,O
1380695479676100608,menteri,O
1380695479676100608,lagi,O
1380698005616005125,DI,O
1380698005616005125,ZAMAN,O
1380698005616005125,REZIM,O
1380698005616005125,PELINDUNG,O
1380698005616005125,KORUPTOR,O
1380698005616005125,",",O
1380698005616005125,PEGAWAI,O
1380698005616005125,BADAN,O
1380698005616005125,PELINDUNG,O
1380698005616005125,KORUPTOR,O
1380698005616005125,IKUT2AN,O
1380698005616005125,JADI,O
1380698005616005125,KORUPTOR,O
1380698005616005125,!,O
1380698005616005125,JawaPos,B-ORG
1380698005616005125,:,O
1380698005616005125,Curi,O
1380698005616005125,Emas,O
1380698005616005125,"1,9",O
1380698005616005125,Kg,O
1380698005616005125,dari,O
1380698005616005125,Barang,O
1380698005616005125,Bukti,O
1380698005616005125,",",O
1380698005616005125,Pegawai,O
1380698005616005125,KPK,B-ORG
1380698005616005125,Langsung,O
1380698005616005125,Dipecat,O
1380698005616005125,.,O
1380698005616005125,https://t.co/h0fE0CVz7m,O
1380698005616005125,#FPIdanIBHRSbukanTeroris,O
1380698005616005125,#PKIMusuhSemuaAgama,O
1380698005616005125,@GoogleNews,O
1380699057367130112,Terkait,O
1380699057367130112,bencana,O
1380699057367130112,yang,O
1380699057367130112,terjadi,O
1380699057367130112,di,O
1380699057367130112,Nusa,B-LOC
1380699057367130112,Tenggara,I-LOC
1380699057367130112,Timur,I-LOC
1380699057367130112,",",O
1380699057367130112,Gubernur,O
1380699057367130112,Jawa,O
1380699057367130112,Timur,O
1380699057367130112,Khofifah,B-PER
1380699057367130112,Indar,I-PER
1380699057367130112,Parawansa,I-PER
1380699057367130112,sblmnya,O
1380699057367130112,menyampaikan,O
1380699057367130112,duka,O
1380699057367130112,cita,O
1380699057367130112,mendalam,O
1380699057367130112,",",O
1380699057367130112,terutama,O
1380699057367130112,kpd,O
1380699057367130112,keluarga,O
1380699057367130112,korban,O
1380699057367130112,yang,O
1380699057367130112,meninggal,O
1380700021859872769,@cahbagu85720623,O
1380700021859872769,mau,O
1380700021859872769,renang,O
1380706739935318018,INDENPERS-MEDIA,B-ORG
1380706739935318018,Bak,O
1380706739935318018,Presiden,O
1380706739935318018,",",O
1380706739935318018,Ini,O
1380706739935318018,Aksi,O
1380706739935318018,Prabowo,B-PER
1380706739935318018,di,O
1380706739935318018,Atas,O
1380706739935318018,Limusin,O
1380706739935318018,Kor,O
1380706739935318018,.,O
1380706739935318018,https://t.co/6r5azDlaVE,O
1380716397886533633,RT,O
1380716397886533633,@umaralims,O
1380716397886533633,:,O
1380716397886533633,@geloraco,O
1380716397886533633,Kenapa,O
1380716397886533633,_,O
1380716397886533633,???,O
1380716397886533633,NU,B-ORG
1380716397886533633,10,O
1380716397886533633,thn,O
1380716397886533633,terakhir,O
1380716397886533633,(,O
1380716397886533633,selama,O
1380716397886533633,kepemimpinan,O
1380716397886533633,SAS,B-PER
1380716397886533633,),O
1380716397886533633,kehilangan,O
1380716397886533633,kehormatan,O
1380716397886533633,dan,O
1380716397886533633,kepercayaan,O
1380716397886533633,Nahdiyin,B-ORG
1380716397886533633,_,O
1380716397886533633,NU,B-ORG
1380716397886533633,dalam,O
1380716397886533633,sejarah,O
1380716397886533633,dekat,O
1380716397886533633,dgn,O
1380716397886533633,Nasakom,B-WA
1380716397886533633,",",O
1380716397886533633,Rezim,B-ORG
1380716397886533633,Megawati,I-ORG
1380716397886533633,dan,O
1380716397886533633,kini,O
1380716397886533633,kembali,O
1380716397886533633,lebih,O
1380716397886533633,mesrah,O
1380716397886533633,dgn,O
1380716397886533633,Jokowi,B-PER
1380716397886533633,(,O
1380716397886533633,PDIP,B-ORG
1380717683470082049,Bentuk,O
1380717683470082049,Detasemen,B-ORG
1380717683470082049,Kawal,I-ORG
1380717683470082049,Khusus,I-ORG
1380717683470082049,Prabowo,B-PER
1380717683470082049,Turun,O
1380717683470082049,Sendiri,O
1380717683470082049,Memilih,O
1380717683470082049,Orang-orangnya,O
1380717683470082049,https://t.co/PVRT6s7vKc,O
1380717683470082049,#Terbaru,O
1380717683470082049,#berita,O
1380717683470082049,#bisnis,O
1380722811493318659,@ShopeeID,O
1380722811493318659,Wahai,O
1380722811493318659,orang-orang,O
1380722811493318659,yang,O
1380722811493318659,beriman,O
1380722811493318659,",",O
1380722811493318659,Bersabarlah,O
1380722811493318659,kamu,O
1380722811493318659,dan,O
1380722811493318659,kuatkanlah,O
1380722811493318659,kesabaranmu,O
1380722811493318659,dan,O
1380722811493318659,tetaplah,O
1380722811493318659,bersiap-siaga,O
1380722811493318659,dan,O
1380722811493318659,bertakwalah,O
1380722811493318659,kepada,O
1380722811493318659,Allah,O
1380722811493318659,agar,O
1380722811493318659,kamu,O
1380722811493318659,beruntung,O
1380722811493318659,.,O
1380722811493318659,–,O
1380722811493318659,(,O
1380722811493318659,Q.S,O
1380722811493318659,Ali,O
1380722811493318659,Imran,O
1380722811493318659,[3],O
1380722811493318659,:,O
1380722811493318659,200),O
1380722811493318659,SHOPEE,B-PROD
1380722811493318659,#44ShopeeMamamoo,O
1380722811493318659,#ShopeexMamamoo,O
1380722811493318659,#AdaMamamoodiShopee,O
1380722868967796736,RT,O
1380722868967796736,@amirnadhi,O
1380722868967796736,:,O
1380722868967796736,One,O
1380722868967796736,of,O
1380722868967796736,my,O
1380722868967796736,best,O
1380722868967796736,ramadhan,O
1380722868967796736,moment,O
1380722868967796736,adalah,O
1380722868967796736,dapat,O
1380722868967796736,buat,O
1380722868967796736,“iftar,O
1380722868967796736,hopping”,O
1380722868967796736,-,O
1380722868967796736,bukan,O
1380722868967796736,di,O
1380722868967796736,kedai,O
1380722868967796736,makan,O
